 name         t90      fluence    fluence_error fluence_batse fluence_batse_error 
 GRB140329272    0.064 2.3798e-07    8.4588e-09    1.0727e-07          4.9863e-09 
 GRB170511648    1.280 1.9089e-07    1.2841e-08    1.0492e-07          4.9903e-09 
 GRB240908574    1.280 8.9231e-08    1.0242e-08    4.0459e-08          4.9925e-09 
 GRB160624477    0.384 3.9236e-07    8.4625e-09    1.8171e-07          4.9925e-09 
 GRB220610906    1.408 1.0720e-07    9.6479e-09    6.2884e-08          5.0010e-09 
 GRB110424758    0.672 4.6521e-08    9.3220e-09    2.5915e-08          5.0248e-09 
 GRB180201706    0.192 2.2681e-07    9.4950e-09    1.3142e-07          5.0730e-09 
 GRB170918139    0.128 8.8478e-08    1.1721e-08    5.5579e-08          5.0926e-09 
 GRB121012724    0.448 1.2729e-06    1.0012e-08    4.8738e-07          5.1193e-09 
 GRB140624423    0.096 2.4168e-07    9.5264e-09    1.5318e-07          5.1276e-09 
 GRB160220059    8.768 6.1910e-07    1.3457e-08    3.3578e-07          5.1364e-09 
 GRB130503214    0.880 3.8581e-08    8.8838e-09    2.6685e-08          5.1638e-09 
 GRB080723913    0.192 1.3352e-07    1.3650e-08    7.4547e-08          5.1941e-09 
 GRB150101270    0.480 7.6144e-08    1.0699e-08    4.6254e-08          5.2041e-09 
 GRB190913155    0.128 6.5685e-08    9.4465e-09    3.3953e-08          5.2694e-09 
 GRB180418281    2.560 5.8969e-07    9.7225e-09    3.6034e-07          5.3015e-09 
 GRB110923481    1.664 1.2450e-07    9.7829e-09    6.6023e-08          5.3596e-09 
 GRB120916085    1.280 7.3336e-08    1.0412e-08    4.0237e-08          5.4428e-09 
 GRB200626105    3.520 3.7779e-07    1.0373e-08    2.1141e-07          5.4680e-09 
 GRB210518889    0.896 4.4438e-08    1.0106e-08    2.5107e-08          5.4942e-09 
 GRB200423579    0.032 8.7955e-08    1.2508e-08    5.6881e-08          5.5034e-09 
 GRB130628860    0.512 1.0293e-06    9.7853e-09    2.9894e-07          5.5069e-09 
 GRB240905186    1.280 7.8480e-06    9.6601e-09    1.8448e-06          5.5313e-09 
 GRB170926782    0.896 4.5632e-07    1.0066e-08    3.0625e-07          5.5346e-09 
 GRB121124606    0.256 5.6602e-08    1.4227e-08    2.4919e-08          5.5452e-09 
 GRB150522944    1.024 2.1346e-07    1.1225e-08    1.1243e-07          5.5809e-09 
 GRB170604603    0.320 1.6719e-06    1.1848e-08    4.4133e-07          5.5847e-09 
 GRB230430325    0.320 1.4842e-06    1.2704e-08    6.8755e-07          5.5883e-09 
 GRB200922718    0.320 4.4763e-07    1.2801e-08    2.5623e-07          5.6068e-09 
 GRB150118927    0.288 6.9773e-07    1.0975e-08    3.6216e-07          5.6466e-09 
 GRB230521211    0.512 1.5897e-07    1.0869e-08    9.3692e-08          5.6495e-09 
 GRB240604594    0.384 6.4371e-08    1.1209e-08    3.2598e-08          5.6762e-09 
 GRB150506972    0.384 3.1253e-07    1.0278e-08    1.4343e-07          5.7008e-09 
 GRB181121401    0.192 3.4288e-07    1.0218e-08    1.5856e-07          5.7057e-09 
 GRB221120895    0.640 4.9688e-07    1.1166e-08    2.4630e-07          5.7174e-09 
 GRB100206563    0.176 7.5657e-07    1.0540e-08    3.3641e-07          5.7293e-09 
 GRB161230298    0.448 1.7285e-07    1.0550e-08    9.9557e-08          5.7392e-09 
 GRB220617772    0.704 6.5653e-07    1.0941e-08    3.7546e-07          5.7610e-09 
 GRB180313978    0.080 1.8732e-07    1.0567e-08    1.0184e-07          5.7866e-09 
 GRB200514380    1.664 1.7816e-07    1.0679e-08    9.9947e-08          5.8078e-09 
 GRB221014021    0.320 3.3892e-08    1.2953e-08    1.5506e-08          5.8137e-09 
 GRB110227009    1.728 1.6377e-07    1.0133e-08    9.5884e-08          5.8235e-09 
 GRB130929375    2.304 3.2263e-07    1.3956e-08    1.3194e-07          5.8240e-09 
 GRB200224416    0.064 6.9752e-08    9.7433e-09    5.1579e-08          5.8748e-09 
