 name         t90      fluence    fluence_error fluence_batse fluence_batse_error 
 GRB240118508   26.624 1.1504e-06    2.0030e-08    6.5126e-07          1.1792e-08 
 GRB210603907    7.936 6.8998e-07    2.1403e-08    4.1858e-07          1.1794e-08 
 GRB240415269    9.984 1.6507e-06    2.5341e-08    6.5079e-07          1.1801e-08 
 GRB100101988    1.984 1.8679e-06    8.0543e-08    3.7486e-07          1.1801e-08 
 GRB180506902   23.296 2.0012e-06    2.4400e-08    1.1277e-06          1.1802e-08 
 GRB180523782    1.984 2.5738e-07    2.2569e-08    1.0292e-07          1.1811e-08 
 GRB150312403    0.320 1.4018e-07    1.9221e-08    1.0083e-07          1.1822e-08 
 GRB230902615    3.584 5.7465e-07    2.2337e-08    2.7513e-07          1.1829e-08 
 GRB091026485    3.328 5.6672e-07    2.4418e-08    3.1495e-07          1.1843e-08 
 GRB220525008   16.128 1.4894e-05    2.1637e-08    8.2204e-06          1.1846e-08 
 GRB150715136    0.384 5.2553e-07    1.9144e-08    1.8591e-07          1.1846e-08 
 GRB210601724    0.960 2.0940e-07    1.9989e-08    1.3478e-07          1.1848e-08 
 GRB110705151    0.192 2.8451e-06    2.5068e-08    7.4850e-07          1.1848e-08 
 GRB120711446   87.552 1.8621e-06    2.0411e-08    1.0029e-06          1.1849e-08 
 GRB211102587   19.712 1.0345e-05    2.1052e-08    5.5640e-06          1.1857e-08 
 GRB101129726    0.576 1.1186e-06    2.1786e-08    5.7803e-07          1.1862e-08 
 GRB220507423    5.950 1.6732e-06    2.1645e-08    6.8702e-07          1.1866e-08 
 GRB240603102    2.496 1.5722e-06    2.1752e-08    5.1850e-07          1.1866e-08 
 GRB190217188   11.520 8.8193e-07    2.2668e-08    4.9828e-07          1.1904e-08 
 GRB100605774    8.192 7.5654e-07    2.1743e-08    4.3444e-07          1.1907e-08 
 GRB120222021    1.088 1.7278e-06    2.3582e-08    1.1506e-06          1.1910e-08 
 GRB240502906    0.768 5.6317e-07    2.1688e-08    2.6428e-07          1.1915e-08 
 GRB140102887    3.648 1.7803e-05    2.4124e-08    1.0819e-05          1.1926e-08 
 GRB150226948   32.768 8.4218e-07    2.0489e-08    4.7322e-07          1.1947e-08 
 GRB180722120   12.544 1.5244e-06    2.3786e-08    7.1092e-07          1.1950e-08 
 GRB100207721   17.728 4.3410e-07    2.2742e-08    2.2838e-07          1.1959e-08 
 GRB120727354    0.896 1.0912e-07    2.1610e-08    6.6156e-08          1.1960e-08 
 GRB231206789    2.816 5.8151e-07    2.0210e-08    3.3070e-07          1.1960e-08 
 GRB120426090    2.688 2.1049e-05    2.2645e-08    1.3835e-05          1.1971e-08 
 GRB081130212    2.240 2.6396e-07    2.0468e-08    9.5035e-08          1.1987e-08 
 GRB120915474    5.888 3.8288e-07    2.4656e-08    2.0467e-07          1.1991e-08 
 GRB111207512    0.768 2.6214e-07    2.6569e-08    1.1610e-07          1.2019e-08 
 GRB191027638    7.168 3.0077e-06    2.0252e-08    1.5847e-06          1.2020e-08 
 GRB180402481    0.256 5.3497e-07    1.9738e-08    2.6606e-07          1.2021e-08 
 GRB130622615    0.960 4.3199e-07    2.7958e-08    2.5158e-07          1.2022e-08 
 GRB090610883    7.424 7.6429e-07    2.2375e-08    3.9221e-07          1.2024e-08 
 GRB231108877    4.736 6.9823e-07    2.1798e-08    3.4185e-07          1.2032e-08 
 GRB211210937   11.776 1.2716e-06    2.3159e-08    6.9204e-07          1.2033e-08 
 GRB110410772    7.424 9.3595e-07    2.2187e-08    5.0365e-07          1.2041e-08 
 GRB111124308    8.960 6.2632e-07    2.1928e-08    3.4260e-07          1.2045e-08 
 GRB181224987    1.088 1.5167e-07    2.1381e-08    8.6791e-08          1.2048e-08 
 GRB120519721    1.056 9.5949e-07    1.6695e-08    5.6870e-07          1.2049e-08 
 GRB130624093   13.824 5.1927e-07    2.0937e-08    2.9322e-07          1.2049e-08 
 GRB140404171   26.624 8.1801e-06    2.3281e-08    4.5338e-06          1.2053e-08 
 GRB231028173   34.817 1.7414e-05    2.4396e-08    9.5039e-06          1.2060e-08 
 GRB130219626    1.536 2.0271e-07    1.9771e-08    1.3880e-07          1.2087e-08 
 GRB200505994    9.984 2.4803e-06    2.2019e-08    1.1707e-06          1.2087e-08 
 GRB100827455    0.576 1.0292e-06    2.2402e-08    3.2630e-07          1.2113e-08 
 GRB110522633   58.112 3.0438e-06    2.4797e-08    1.2227e-06          1.2113e-08 
 GRB200125864    5.824 5.0443e-05    2.3920e-08    2.9383e-05          1.2114e-08 
 GRB230320949    0.832 1.9072e-07    2.2078e-08    1.0987e-07          1.2163e-08 
 GRB200129409    0.112 2.8352e-07    2.7551e-08    1.4829e-07          1.2167e-08 
 GRB240303513    5.888 2.1602e-05    2.2426e-08    7.9072e-06          1.2167e-08 
 GRB200808469   27.904 3.2016e-06    2.2373e-08    1.9287e-06          1.2168e-08 
 GRB180614327    9.216 4.1260e-07    2.3483e-08    2.4182e-07          1.2184e-08 
 GRB200107810   81.154 4.0811e-06    2.1979e-08    2.3060e-06          1.2188e-08 
 GRB100307928   16.128 1.5385e-06    2.2276e-08    7.1309e-07          1.2190e-08 
 GRB100722291    1.280 1.0386e-07    2.4960e-08    6.2827e-08          1.2197e-08 
 GRB201216792   77.312 2.0770e-06    2.8771e-08    1.1571e-06          1.2199e-08 
 GRB181016718    0.080 6.1424e-08    2.1623e-08    3.9849e-08          1.2205e-08 
 GRB160921087   48.897 3.9127e-06    2.2383e-08    1.9975e-06          1.2208e-08 
 GRB100929916    0.320 7.6143e-07    2.1992e-08    2.9213e-07          1.2210e-08 
 GRB090907808    0.832 1.0526e-06    2.3547e-08    5.8390e-07          1.2212e-08 
 GRB160221993   11.520 1.7522e-06    2.5175e-08    8.6491e-07          1.2222e-08 
 GRB220317534   14.336 6.7312e-07    2.2325e-08    3.5593e-07          1.2232e-08 
 GRB131204937   29.952 1.6482e-06    2.4064e-08    9.4665e-07          1.2237e-08 
 GRB151022577    0.320 2.7708e-07    2.0922e-08    1.5827e-07          1.2262e-08 
 GRB210727410    1.088 1.9552e-06    2.3141e-08    5.3274e-07          1.2267e-08 
 GRB171007498    3.456 3.0318e-07    1.8513e-08    1.8900e-07          1.2270e-08 
 GRB210822273   18.624 5.4743e-06    2.2418e-08    3.3549e-06          1.2274e-08 
 GRB200826187    1.136 4.2645e-06    2.2450e-08    2.7077e-06          1.2281e-08 
 GRB220702569    3.840 3.4616e-07    2.1861e-08    1.8356e-07          1.2296e-08 
 GRB150418819    3.840 6.4146e-07    2.4056e-08    3.1483e-07          1.2309e-08 
 GRB160123095   37.632 8.9552e-07    3.4009e-08    3.9488e-07          1.2317e-08 
 GRB170929699    8.960 3.0398e-06    2.2519e-08    1.5160e-06          1.2320e-08 
 GRB200920651    1.472 1.5387e-07    2.2493e-08    8.4735e-08          1.2321e-08 
 GRB110226989   14.080 1.8958e-06    2.5009e-08    1.0560e-06          1.2329e-08 
 GRB200327873    0.640 1.2625e-06    1.9140e-08    4.6883e-07          1.2333e-08 
 GRB230904853    5.632 6.0497e-07    2.2535e-08    2.3557e-07          1.2335e-08 
 GRB120205285    0.576 1.1092e-07    9.8579e-09    1.3689e-07          1.2356e-08 
 GRB160718975    8.448 2.4683e-06    2.2637e-08    1.2331e-06          1.2361e-08 
 GRB201020241   21.504 1.5622e-06    2.4465e-08    6.6002e-07          1.2365e-08 
 GRB171124235   26.177 3.6166e-06    2.1924e-08    2.0255e-06          1.2374e-08 
 GRB160925221   50.944 2.3202e-06    2.4223e-08    1.2755e-06          1.2382e-08 
 GRB190923617    3.584 1.6599e-06    2.2032e-08    7.1862e-07          1.2384e-08 
 GRB160628579   23.040 3.8891e-06    2.2983e-08    1.7491e-06          1.2389e-08 
 GRB221022612    0.256 7.9390e-07    2.2623e-08    2.5123e-07          1.2396e-08 
 GRB180124392   86.528 3.4097e-06    2.1865e-08    1.8538e-06          1.2432e-08 
 GRB170310417   13.568 6.7460e-07    2.2593e-08    3.7940e-07          1.2436e-08 
 GRB240305162    7.424 4.2240e-06    2.3008e-08    1.6128e-06          1.2440e-08 
 GRB110812899   11.264 1.1739e-06    2.1811e-08    6.1485e-07          1.2455e-08 
 GRB180423266    3.328 5.7854e-07    2.3336e-08    3.3078e-07          1.2457e-08 
 GRB190825171   12.032 2.1626e-07    2.2768e-08    1.1398e-07          1.2474e-08 
 GRB150201040    0.512 6.5443e-08    2.0535e-08    4.2145e-08          1.2475e-08 
 GRB201105215    4.608 1.1475e-06    2.3146e-08    5.7699e-07          1.2486e-08 
 GRB141112828   63.745 2.1037e-06    3.6931e-08    9.7253e-07          1.2502e-08 
 GRB240627839   23.808 3.6898e-06    2.2648e-08    2.0550e-06          1.2504e-08 
 GRB160711968   25.344 8.9456e-07    2.7132e-08    4.5866e-07          1.2505e-08 
 GRB170711931   12.288 2.1242e-06    2.4529e-08    1.1124e-06          1.2507e-08 
 GRB200111633    6.016 3.0022e-06    2.2912e-08    1.7267e-06          1.2507e-08 
 GRB230330018   18.944 1.0837e-06    2.1155e-08    5.9970e-07          1.2512e-08 
 GRB231106981    3.840 3.3631e-07    2.0064e-08    2.1282e-07          1.2530e-08 
 GRB180521935   31.232 6.6444e-07    2.3899e-08    3.5663e-07          1.2535e-08 
 GRB080905499    0.960 8.5046e-07    4.6217e-08    3.1709e-07          1.2536e-08 
 GRB201108645   68.864 2.0048e-06    2.4084e-08    1.1285e-06          1.2551e-08 
 GRB130509839   31.488 1.5157e-06    2.0810e-08    8.9562e-07          1.2557e-08 
 GRB141022061   11.520 5.6020e-07    2.4573e-08    3.1417e-07          1.2580e-08 
 GRB230919707    2.944 1.5303e-06    2.2249e-08    7.3499e-07          1.2588e-08 
 GRB210731092   72.450 1.0709e-05    2.3057e-08    6.5109e-06          1.2590e-08 
 GRB161212652    2.816 4.5965e-07    2.4917e-08    2.4801e-07          1.2600e-08 
 GRB230313485    6.461 4.3880e-06    2.5259e-08    2.6807e-06          1.2600e-08 
 GRB170912985    0.480 1.4207e-07    2.1381e-08    9.2421e-08          1.2605e-08 
 GRB101101899   31.232 2.5972e-06    2.7188e-08    1.4412e-06          1.2607e-08 
 GRB230328621   18.880 9.0158e-06    2.4844e-08    5.1194e-06          1.2616e-08 
 GRB090717111    0.384 3.0812e-07    2.5877e-08    1.5664e-07          1.2616e-08 
 GRB120402669   20.224 3.7475e-06    2.6093e-08    1.3342e-06          1.2633e-08 
 GRB241016680    0.064 1.5036e-07    2.7578e-08    8.5728e-08          1.2689e-08 
 GRB141122087    1.280 2.5893e-07    2.1984e-08    1.5983e-07          1.2689e-08 
 GRB240115461    1.792 5.2585e-07    2.2509e-08    3.1954e-07          1.2698e-08 
 GRB191031635    9.984 5.5399e-07    2.4850e-08    2.8619e-07          1.2706e-08 
 GRB221211274    4.416 6.9405e-07    2.7553e-08    3.3285e-07          1.2717e-08 
 GRB210125369   68.864 3.0587e-06    3.6342e-08    1.1113e-06          1.2717e-08 
 GRB100717372    5.952 4.2635e-07    2.6838e-08    2.3219e-07          1.2723e-08 
 GRB110517453    0.576 9.8898e-08    2.3388e-08    5.3038e-08          1.2728e-08 
 GRB141202470    1.408 4.3517e-06    2.2705e-08    1.4634e-06          1.2733e-08 
 GRB140928100    7.680 2.7794e-06    2.3235e-08    1.2154e-06          1.2740e-08 
 GRB180227211    0.288 1.3592e-07    2.2258e-08    9.5524e-08          1.2746e-08 
 GRB200323006    7.168 7.2956e-07    2.8290e-08    3.2751e-07          1.2754e-08 
 GRB160922856   20.736 8.6922e-07    2.4404e-08    4.8168e-07          1.2764e-08 
 GRB191015327    8.192 6.5180e-07    2.4622e-08    3.6934e-07          1.2765e-08 
 GRB180413118   57.857 7.5520e-06    2.3618e-08    4.3925e-06          1.2767e-08 
 GRB211116487   14.848 5.3969e-07    2.6152e-08    2.5167e-07          1.2828e-08 
 GRB160101030    4.669 1.7611e-05    2.3713e-08    9.9093e-06          1.2854e-08 
 GRB190905985    0.704 5.5119e-07    1.9944e-08    2.8081e-07          1.2859e-08 
 GRB231030832   10.752 2.0996e-05    2.3598e-08    1.0385e-05          1.2865e-08 
 GRB150705588    0.704 2.0708e-07    2.3248e-08    1.2248e-07          1.2873e-08 
 GRB170306130   32.257 4.0298e-06    2.1628e-08    2.3561e-06          1.2877e-08 
 GRB141126233    0.896 4.0459e-07    2.2758e-08    2.0207e-07          1.2889e-08 
 GRB241029097   13.312 9.5267e-06    2.3765e-08    5.2715e-06          1.2913e-08 
 GRB140824548    4.096 2.6866e-06    3.9092e-08    1.3060e-06          1.2918e-08 
 GRB121014638    0.576 1.2954e-07    2.1590e-08    8.4160e-08          1.2936e-08 
 GRB100625773    0.240 5.6346e-07    2.4515e-08    2.4322e-07          1.2938e-08 
 GRB141004150    9.472 4.0962e-06    2.5668e-08    2.2903e-06          1.2939e-08 
 GRB170803729    3.584 1.8854e-06    2.4381e-08    1.2075e-06          1.2944e-08 
 GRB160929529    4.608 9.8144e-07    2.5995e-08    5.6238e-07          1.2956e-08 
 GRB170522657    7.424 2.2923e-05    2.3367e-08    1.1656e-05          1.2964e-08 
 GRB220624316    2.176 1.3592e-07    2.4150e-08    7.4668e-08          1.2965e-08 
 GRB201221963    0.144 6.3567e-07    2.3558e-08    4.6945e-07          1.2974e-08 
 GRB220103877    6.912 1.5677e-06    2.5340e-08    8.1947e-07          1.2981e-08 
 GRB170705244    5.888 8.4654e-07    2.2574e-08    4.7082e-07          1.2989e-08 
 GRB140919636  108.546 1.0749e-05    2.4070e-08    5.3148e-06          1.2997e-08 
 GRB190415173   52.481 6.0128e-05    2.6216e-08    1.9129e-05          1.3000e-08 
 GRB230918997   14.080 2.0179e-06    2.3306e-08    1.1890e-06          1.3003e-08 
 GRB130925164    6.400 6.3406e-07    2.7480e-08    2.8324e-07          1.3006e-08 
 GRB180801492    7.424 1.3352e-06    2.3641e-08    6.2171e-07          1.3012e-08 
 GRB121028280   11.008 9.9778e-07    2.8314e-08    5.7485e-07          1.3013e-08 
 GRB130831058   24.832 2.1300e-06    2.4717e-08    1.1375e-06          1.3015e-08 
 GRB141113346    0.448 1.4740e-07    1.9229e-08    1.1190e-07          1.3027e-08 
 GRB230930917   12.800 7.3344e-07    2.2458e-08    4.0261e-07          1.3029e-08 
 GRB160910722   24.320 7.9660e-05    2.5309e-08    3.9286e-05          1.3039e-08 
 GRB180511364    0.128 1.5261e-07    2.1448e-08    7.4280e-08          1.3039e-08 
 GRB231031144   11.520 9.1048e-07    2.0825e-08    5.2982e-07          1.3040e-08 
 GRB110629174   61.694 2.4280e-06    2.3686e-08    1.2872e-06          1.3043e-08 
 GRB220702842   35.840 1.6830e-06    2.1562e-08    9.1593e-07          1.3050e-08 
 GRB210528586    1.024 3.8199e-06    2.2229e-08    2.3973e-06          1.3051e-08 
 GRB141031998    0.160 8.3510e-08    2.0706e-08    6.5454e-08          1.3053e-08 
 GRB191130507   61.953 4.2318e-06    2.6531e-08    2.0936e-06          1.3063e-08 
 GRB241016073    1.472 1.9672e-07    2.6785e-08    9.8352e-08          1.3063e-08 
 GRB110825265   48.128 2.0912e-06    2.4350e-08    1.1809e-06          1.3068e-08 
 GRB200916812  108.800 3.1367e-06    2.3754e-08    1.7438e-06          1.3076e-08 
 GRB230321100    6.912 4.7192e-06    2.5968e-08    3.0322e-06          1.3078e-08 
 GRB090807832   17.920 1.3418e-06    2.5428e-08    5.5346e-07          1.3084e-08 
 GRB121119579    2.304 8.8147e-07    2.3576e-08    4.7853e-07          1.3086e-08 
 GRB240422389   42.753 3.3510e-06    2.3529e-08    1.8578e-06          1.3093e-08 
 GRB181125371    3.840 3.4955e-07    2.4831e-08    1.9694e-07          1.3095e-08 
 GRB120915000    0.576 5.0545e-07    2.5476e-08    1.8945e-07          1.3126e-08 
 GRB160806584    1.664 1.6466e-06    2.7937e-08    1.0706e-06          1.3129e-08 
 GRB130627372   35.840 1.5766e-06    2.4121e-08    8.9279e-07          1.3147e-08 
 GRB240929826   13.312 9.3423e-06    3.1834e-08    6.5807e-06          1.3150e-08 
 GRB160315739    3.328 3.0532e-07    2.2664e-08    1.7055e-07          1.3154e-08 
 GRB230606010   15.616 1.8231e-06    3.0509e-08    1.1169e-06          1.3158e-08 
 GRB200318941   10.240 2.9050e-06    2.3825e-08    1.5637e-06          1.3161e-08 
 GRB190921699   22.272 2.5786e-06    2.3803e-08    1.5266e-06          1.3162e-08 
 GRB130706900    0.128 1.8650e-07    2.1250e-08    9.6499e-08          1.3179e-08 
 GRB151130160   20.224 2.3814e-06    2.4033e-08    1.4031e-06          1.3191e-08 
 GRB090228204    0.448 6.1936e-06    2.6491e-08    1.7550e-06          1.3201e-08 
 GRB241117845   64.257 1.5780e-05    2.8675e-08    9.5333e-06          1.3205e-08 
 GRB160224911    0.384 1.2062e-07    2.2820e-08    7.7764e-08          1.3212e-08 
 GRB200228469   14.080 6.9233e-07    2.4794e-08    3.6954e-07          1.3214e-08 
 GRB200906550   67.329 4.6674e-06    2.2982e-08    2.3972e-06          1.3223e-08 
 GRB221210108   18.176 1.5584e-06    2.6572e-08    8.8265e-07          1.3224e-08 
 GRB170121133    1.600 3.7107e-07    2.4160e-08    1.5458e-07          1.3238e-08 
 GRB170504734    0.704 1.2183e-07    2.6731e-08    5.9002e-08          1.3239e-08 
 GRB200506208   11.776 4.1665e-07    2.3139e-08    2.1456e-07          1.3251e-08 
 GRB210430904   37.120 1.5983e-06    2.3636e-08    9.3354e-07          1.3256e-08 
 GRB230709706   22.272 8.2900e-06    2.4430e-08    4.2927e-06          1.3256e-08 
 GRB190428783   16.640 4.4002e-06    2.5351e-08    2.5336e-06          1.3257e-08 
 GRB141222298    2.752 9.2055e-06    3.8177e-08    3.3648e-06          1.3279e-08 
 GRB110725236   20.224 1.3087e-06    2.9277e-08    7.5922e-07          1.3279e-08 
 GRB240226815  158.723 3.8991e-06    2.8084e-08    2.1156e-06          1.3303e-08 
 GRB120609580    1.792 4.1964e-07    2.5291e-08    2.6016e-07          1.3312e-08 
 GRB171209671   13.824 3.1995e-06    2.8440e-08    1.8670e-06          1.3317e-08 
 GRB160102936   10.496 3.0210e-06    2.4188e-08    1.9543e-06          1.3325e-08 
 GRB100727238   23.808 1.0562e-06    2.2333e-08    5.6312e-07          1.3326e-08 
 GRB160917456   14.592 5.3555e-06    2.5266e-08    2.3696e-06          1.3332e-08 
 GRB080829790    7.680 2.5250e-06    2.1827e-08    1.3558e-06          1.3337e-08 
 GRB201228102   25.344 5.9029e-07    2.5113e-08    3.2258e-07          1.3341e-08 
 GRB200920831    0.384 1.4030e-06    2.7986e-08    4.7304e-07          1.3342e-08 
 GRB110904163   51.457 3.4640e-06    2.6843e-08    1.8627e-06          1.3347e-08 
 GRB130705398    0.128 2.1179e-07    2.3407e-08    7.7806e-08          1.3352e-08 
 GRB161110179    1.792 1.5922e-07    2.5566e-08    8.4661e-08          1.3357e-08 
 GRB160625240   10.752 1.2778e-06    3.0144e-08    6.6163e-07          1.3365e-08 
 GRB180822423    8.448 2.2138e-06    2.1099e-08    1.3766e-06          1.3366e-08 
 GRB160508290   11.008 1.1230e-06    2.4416e-08    6.6261e-07          1.3381e-08 
 GRB240805085   10.752 2.7963e-05    2.4335e-08    1.4707e-05          1.3396e-08 
 GRB221027173    7.168 7.9666e-06    2.6643e-08    3.8677e-06          1.3409e-08 
 GRB200221162    1.728 2.0490e-07    2.0867e-08    1.1291e-07          1.3410e-08 
 GRB181119606   16.445 9.9024e-06    2.6196e-08    5.3881e-06          1.3429e-08 
 GRB170307851   28.416 1.4392e-06    2.5529e-08    7.9594e-07          1.3433e-08 
 GRB140109877    3.328 1.4920e-07    2.4975e-08    7.9299e-08          1.3436e-08 
 GRB170422343   25.344 2.1568e-05    2.5015e-08    1.4035e-05          1.3452e-08 
 GRB110709862    5.376 7.9744e-07    2.3762e-08    4.2916e-07          1.3459e-08 
 GRB100719825    3.072 2.7414e-07    2.4917e-08    1.5006e-07          1.3462e-08 
 GRB120220210   21.248 1.2373e-06    2.4764e-08    6.9911e-07          1.3468e-08 
 GRB120926753    3.072 1.8784e-07    2.4283e-08    1.0635e-07          1.3471e-08 
 GRB140720280    9.984 1.8842e-06    2.5396e-08    1.0175e-06          1.3480e-08 
 GRB160920249   15.616 1.4497e-06    2.8248e-08    7.6857e-07          1.3487e-08 
 GRB091219462    8.128 8.5328e-07    2.5918e-08    4.5053e-07          1.3496e-08 
 GRB110420946    0.128 2.4411e-07    2.7347e-08    1.0623e-07          1.3515e-08 
 GRB190110726    8.960 4.9356e-06    2.7264e-08    2.6826e-06          1.3515e-08 
 GRB181116484   68.609 1.7756e-05    2.4301e-08    1.0127e-05          1.3525e-08 
 GRB190828614   19.968 1.5049e-05    2.4779e-08    8.3407e-06          1.3547e-08 
 GRB101101744    3.328 6.5004e-07    2.2784e-08    1.9010e-07          1.3557e-08 
 GRB240613991    3.072 9.7873e-07    2.5897e-08    6.4116e-07          1.3567e-08 
 GRB080714425   40.192 1.8139e-06    2.0869e-08    9.7889e-07          1.3575e-08 
 GRB211018936  123.906 1.5335e-04    2.6117e-08    7.7147e-05          1.3576e-08 
 GRB231012231    0.832 4.7843e-07    2.1901e-08    2.4689e-07          1.3593e-08 
 GRB240402989   10.944 2.9870e-07    2.4664e-08    1.6157e-07          1.3600e-08 
 GRB150210935   31.294 2.2199e-05    2.6874e-08    7.0836e-06          1.3601e-08 
 GRB120506128    2.304 2.8721e-07    2.5126e-08    1.5658e-07          1.3604e-08 
 GRB150324164    4.608 4.8485e-06    2.3011e-08    1.9997e-06          1.3606e-08 
 GRB160424492    6.592 2.7276e-06    2.4520e-08    1.5925e-06          1.3607e-08 
 GRB141206254    4.608 5.3660e-07    2.8533e-08    3.1704e-07          1.3628e-08 
 GRB090308734    1.664 2.5458e-06    2.8880e-08    1.0124e-06          1.3639e-08 
 GRB160222070   18.176 1.2666e-06    2.9950e-08    6.7439e-07          1.3673e-08 
 GRB160408268    1.056 6.9843e-07    2.8017e-08    3.6069e-07          1.3673e-08 
 GRB090202347   12.608 4.9459e-06    3.0995e-08    2.9288e-06          1.3674e-08 
 GRB180816930   19.456 1.9463e-06    2.4263e-08    1.1264e-06          1.3679e-08 
 GRB100306199    7.168 5.6784e-07    2.2441e-08    3.2607e-07          1.3691e-08 
 GRB110531448   38.656 2.2947e-06    2.5197e-08    1.1245e-06          1.3709e-08 
 GRB220608317   23.037 6.1731e-06    2.4492e-08    3.5368e-06          1.3709e-08 
 GRB180617872    1.920 4.8590e-07    2.1203e-08    3.1580e-07          1.3717e-08 
 GRB210626345   34.048 3.8335e-06    2.4025e-08    2.0716e-06          1.3717e-08 
 GRB241104771   10.496 3.6109e-06    2.6756e-08    2.1198e-06          1.3721e-08 
 GRB150404733    4.864 6.1093e-07    2.9136e-08    3.3839e-07          1.3748e-08 
 GRB230304918   17.152 1.4955e-06    2.5186e-08    8.1667e-07          1.3752e-08 
 GRB190906767   23.040 2.2883e-06    2.9056e-08    8.7314e-07          1.3762e-08 
 GRB220131236   84.738 9.8514e-06    2.4898e-08    5.8223e-06          1.3777e-08 
 GRB110624906    3.520 2.7198e-07    2.4795e-08    1.4345e-07          1.3796e-08 
 GRB190829830   59.393 1.5434e-05    3.5385e-08    5.4724e-06          1.3807e-08 
 GRB210306162    9.536 8.6447e-06    2.4062e-08    4.7342e-06          1.3822e-08 
 GRB120212383    9.216 1.1489e-06    2.5897e-08    5.7957e-07          1.3824e-08 
 GRB230430196   12.032 8.3926e-07    2.5349e-08    4.2903e-07          1.3852e-08 
 GRB201120402    8.192 5.5233e-07    2.7546e-08    2.9609e-07          1.3853e-08 
 GRB170611937   27.904 2.2116e-06    2.7714e-08    1.1387e-06          1.3857e-08 
 GRB170830328   14.592 3.1973e-06    2.4926e-08    1.8361e-06          1.3859e-08 
 GRB090629543   20.480 4.3931e-07    2.4832e-08    2.2264e-07          1.3863e-08 
 GRB140901262   65.025 2.9293e-06    3.2713e-08    1.6573e-06          1.3864e-08 
 GRB150830128   44.801 4.1294e-06    2.6687e-08    2.0283e-06          1.3865e-08 
 GRB110220761   33.024 2.1136e-06    2.6161e-08    1.2033e-06          1.3883e-08 
 GRB200522650   30.977 2.6020e-06    2.9805e-08    1.5198e-06          1.3900e-08 
 GRB170416583   61.952 1.1272e-05    2.5357e-08    5.9453e-06          1.3905e-08 
 GRB170323775   35.328 3.7589e-06    2.5270e-08    2.2060e-06          1.3922e-08 
 GRB111117526   23.808 1.4234e-06    2.4897e-08    7.8901e-07          1.3939e-08 
 GRB151202565    0.704 6.9835e-07    2.8489e-08    3.2058e-07          1.3939e-08 
 GRB121216419    9.216 3.8503e-07    2.4751e-08    2.1735e-07          1.3940e-08 
 GRB090520832    0.768 2.3170e-07    2.5161e-08    1.6082e-07          1.3946e-08 
 GRB240320831    9.728 1.6411e-06    2.3110e-08    1.0126e-06          1.3947e-08 
 GRB190610834    3.072 4.0032e-07    2.5475e-08    2.2225e-07          1.3947e-08 
 GRB190312446   12.800 2.6963e-06    2.7089e-08    1.2809e-06          1.3950e-08 
 GRB240821775    1.728 4.1938e-06    2.5480e-08    1.9240e-06          1.3950e-08 
 GRB170124874   22.784 8.9724e-06    2.3430e-08    5.6347e-06          1.3957e-08 
 GRB210120299   22.205 3.4761e-06    2.5823e-08    2.1120e-06          1.3962e-08 
 GRB110227229   18.432 2.3985e-06    3.1705e-08    1.0995e-06          1.3970e-08 
 GRB180417689    0.256 1.6176e-07    2.7496e-08    1.0390e-07          1.3979e-08 
 GRB170208940   22.016 1.0339e-05    2.5440e-08    6.1134e-06          1.3983e-08 
 GRB200722094   64.769 1.2033e-05    2.7335e-08    6.9516e-06          1.3993e-08 
 GRB130816074   36.864 7.9647e-07    2.7277e-08    3.7465e-07          1.3995e-08 
 GRB091018957    0.192 1.8053e-07    2.8541e-08    1.1600e-07          1.3997e-08 
 GRB160423066   11.968 8.1309e-07    3.2340e-08    3.8833e-07          1.3998e-08 
 GRB150323712   43.264 1.8823e-06    2.8186e-08    1.0200e-06          1.4006e-08 
 GRB130701761    1.600 4.9175e-06    2.6378e-08    1.8784e-06          1.4012e-08 
 GRB200919569    2.560 3.9839e-07    2.7354e-08    2.2766e-07          1.4013e-08 
 GRB200703341    0.704 6.3167e-07    2.2748e-08    3.9030e-07          1.4023e-08 
 GRB161106499   10.752 1.4519e-05    2.6616e-08    9.4947e-06          1.4032e-08 
 GRB220830319   61.441 8.9214e-06    2.5660e-08    5.3385e-06          1.4042e-08 
 GRB221126547    7.424 9.3449e-06    2.8966e-08    5.3874e-06          1.4049e-08 
 GRB081024891    0.640 3.5470e-07    2.8646e-08    2.0691e-07          1.4053e-08 
 GRB230718188   24.832 7.2441e-07    2.5252e-08    3.9874e-07          1.4072e-08 
 GRB180630467   12.032 2.9880e-06    3.2537e-08    1.4429e-06          1.4089e-08 
 GRB170618475   52.481 1.1885e-05    2.7560e-08    6.3650e-06          1.4092e-08 
 GRB120520949    5.760 4.4091e-07    1.4104e-08    4.4091e-07          1.4104e-08 
 GRB190422670   20.736 1.8196e-06    3.5018e-08    8.4778e-07          1.4106e-08 
 GRB180517309   41.728 1.9872e-06    2.9121e-08    1.0801e-06          1.4107e-08 
 GRB171025913    7.936 4.0953e-07    2.5548e-08    2.4315e-07          1.4135e-08 
 GRB171030729    0.096 1.9641e-07    2.6366e-08    7.5470e-08          1.4141e-08 
 GRB181119649   25.344 1.9929e-06    2.5425e-08    1.1506e-06          1.4145e-08 
 GRB090429753    0.640 1.1183e-06    4.3313e-08    3.9257e-07          1.4149e-08 
 GRB221209877   15.616 1.4853e-06    2.5461e-08    8.3916e-07          1.4151e-08 
 GRB111114233   22.016 1.1122e-06    2.5991e-08    6.0383e-07          1.4161e-08 
