name        t90     t90_error fluence_batse fluence_batse_error flux_batse_1024 flux_batse_1024_error flux_batse_64 flux_batse_64_error
GRB190817953   8.448    4.636   4.6838e-07         3.1319e-08         0.7391               0.0968       1.4972             0.4894
GRB091122163   2.944    1.280   7.9164e-08         6.0919e-09         0.3552               0.0719       0.9230             0.5387
GRB220715368  13.312    1.280   1.0706e-06         2.2793e-08         1.7332               0.1222       3.7400             0.5671
GRB220401896  32.000    7.697   1.0403e-06         2.2309e-08         0.7101               0.0760       1.5695             0.3963
GRB120219563   8.128    0.429   3.2657e-07         9.8722e-09         0.4729               0.0604       0.7757             0.2482
GRB101214993  11.520    3.665   5.8255e-07         2.1714e-08         0.8664               0.0694       1.6586             0.3948
GRB130715906  47.873    1.145   2.0879e-05         8.8973e-08         3.7312               0.1669       4.8705             0.7194
GRB091006360   0.192    0.091   7.8217e-08         9.6719e-09         0.7063               0.0955       2.4740             0.5243
GRB220326173  23.552    3.999   7.8603e-07         1.6337e-08         0.4050               0.0825       1.3006             0.4730
GRB190707285  36.353    2.429   6.1705e-06         2.6547e-08         3.0346               0.1081       3.7826             0.4818
GRB130701761   1.600    0.143   1.8784e-06         1.4012e-08         5.2245               0.1721       8.5178             0.8887
GRB190719113  84.738    3.114   4.1420e-06         2.4438e-08         0.9279               0.0880       1.8642             0.4330
GRB221120895   0.640    0.264   2.4630e-07         5.7174e-09         1.1065               0.0790       3.9851             0.5862
GRB151218857   3.328    2.064   3.7964e-07         1.0456e-08         1.4455               0.0963       3.2962             0.4929
GRB170711019  15.104    2.769   4.4185e-07         1.0338e-08         0.7565               0.0596       1.3152             0.2502
GRB230111797   7.936    1.448   5.7102e-07         1.1560e-08         0.8937               0.1068       1.5228             0.5120
GRB210924960  10.240    2.187   5.6768e-07         2.5901e-08         0.5786               0.0739       1.0982             0.3213
GRB200915846   0.960    0.320   3.7112e-07         8.3325e-09         1.4430               0.1600       6.5530             1.1825
GRB230713999  80.129    2.862   7.0402e-06         2.4560e-08         1.6156               0.0839       2.4486             0.4414
GRB141209131  78.081    4.971   3.1916e-06         3.2803e-08         1.2931               0.1010       2.4662             0.4839
GRB211219622  31.741    0.571   2.9852e-06         2.5514e-08         2.3477               0.1501       5.8111             0.8989
GRB191213254  18.944    2.919   9.0461e-07         1.7708e-08         0.6777               0.0842       1.2630             0.4548
GRB090112332  58.369    4.783   2.1492e-06         3.6643e-08         1.8366               0.1114       3.4438             0.5955
GRB190202234  97.536    2.172   3.4567e-06         2.6871e-08         0.8894               0.1040       2.0095             0.6261
GRB140223495  17.408    2.064   1.1674e-06         1.9166e-08         0.8306               0.0843       1.4117             0.3904
GRB171023097  64.257   23.830   1.8127e-06         4.2802e-08         0.7160               0.0913       1.4810             0.4370
GRB170127634   1.728    1.346   1.4412e-07         6.9292e-09         0.7486               0.0763       4.0804             0.6827
GRB150511362  31.232    4.419   1.8362e-06         3.0170e-08         1.3477               0.1025       2.4147             0.5302
GRB080904886  17.344    1.385   2.1311e-06         3.7249e-08         2.9247               0.2837       3.7917             1.2255
GRB160625240  10.752    2.611   6.6163e-07         1.3365e-08         0.7957               0.0762       1.3178             0.4444
GRB150426594  22.528    3.167   6.3235e-06         4.2496e-08         9.0839               0.2854      16.5670             1.4461
GRB150318521  94.720    7.534   2.2497e-06         2.8778e-08         0.5568               0.0662       1.8026             0.4645
GRB210815100   7.168    1.305   2.1949e-06         1.8631e-08         3.9879               0.1540       4.9313             0.6524
GRB230902615   3.584    1.493   2.7513e-07         1.1829e-08         0.9603               0.0918       2.6991             0.5269
GRB140511095   1.408    0.889   2.3141e-07         1.8841e-08         1.1012               0.0785       5.3248             0.5521
GRB220306306   4.925    0.889   9.0010e-07         1.8094e-08         1.5051               0.1123       2.3968             0.5138
GRB150227702  17.408    1.379   1.2389e-06         2.2081e-08         0.8382               0.0828       2.2754             0.4034
GRB230506531  38.400   12.803   2.9188e-06         3.2523e-08         3.7727               0.1297      12.8809             1.0075
GRB180703949   1.536    0.091   5.6463e-06         9.7284e-09        24.8324               0.3115      61.1170             1.9335
GRB230911132  35.840    1.448   2.4404e-06         1.5546e-08         1.2239               0.0875       1.7784             0.3975
GRB111221739  27.136    7.186   1.1004e-06         3.0128e-08         4.2229               0.1999      10.6449             1.3495
GRB190913155   0.128    1.235   3.3953e-08         5.2694e-09         0.4123               0.0870       3.1259             0.5005
GRB170730133   6.656    0.923   1.3024e-06         1.4741e-08         2.4672               0.1263       3.6611             0.5946
GRB120703726   8.960    1.379   4.3136e-06         5.2515e-08         8.6043               0.1744      11.9173             0.7250
GRB170910368  27.392    2.985   1.3851e-06         5.0790e-08         1.1741               0.2276       3.2699             1.1498
GRB161117066 122.178    0.659   1.7539e-05         6.1729e-08         3.4226               0.1694       4.9183             0.7822
GRB100306199   7.168    2.064   3.2607e-07         1.3691e-08         0.5711               0.0915       1.3160             0.3962
GRB110703557   6.720    1.619   5.6013e-07         1.0892e-08         1.6982               0.0879       2.8931             0.4360
GRB140901262  65.025   14.083   1.6573e-06         1.3864e-08         1.1241               0.0836       1.7098             0.4531
GRB091123298 624.459    3.367   1.9312e-05         6.5633e-08         2.4040               0.1522       4.3698             0.7415
GRB161220605  41.729    2.611   5.5212e-06         2.1238e-08         4.2144               0.1530       5.5790             0.6421
GRB170130302  50.177    4.382   2.2517e-06         2.3044e-08         1.4140               0.0907       2.8955             0.5855
GRB101101899  31.232    1.619   1.4412e-06         1.2607e-08         0.4668               0.0760       1.4816             0.4395
GRB100517072  55.808    1.810   3.1526e-06         8.1609e-09         3.1256               0.2424       3.9722             0.9518
GRB160401065  20.992    0.923   5.2668e-06         2.3809e-08         3.6605               0.1257       4.2328             0.5240
GRB200224212 299.525    2.862   2.0586e-05         3.1797e-08         3.7652               0.1458       5.0030             0.7016
GRB230217912   0.896    0.143   4.7542e-06         2.1422e-08        19.0567               0.3146      39.9594             1.9528
GRB110904163  51.457    4.128   1.8627e-06         1.3347e-08         1.2547               0.0891       2.2663             0.4238
GRB201208252  44.801    5.971   3.7197e-06         3.3924e-08         2.7451               0.1286       3.5014             0.5087
GRB220702842  35.840    1.557   9.1593e-07         1.3050e-08         0.8577               0.0696       1.4755             0.3941
GRB181216551  43.520   21.262   1.0273e-06         1.5177e-08         0.8775               0.0693       1.9352             0.4338
GRB180516229  13.824    4.672   1.0614e-06         3.5308e-08         1.1513               0.1009       2.1419             0.5147
GRB231020790   9.344    0.181   2.0404e-05         1.5484e-08        29.8474               0.3244      32.8123             1.3662
GRB120830297   0.896    0.231   7.9161e-07         1.6015e-08         3.1420               0.1467       5.0566             0.7302
GRB100411516   0.512    0.231   1.1496e-07         9.5163e-09         0.6158               0.0844       3.3739             0.4718
GRB221209243   4.160    0.834   1.5541e-05         7.1820e-08        34.8855               0.3853      42.1391             1.7143
GRB140701567  25.088    3.328   1.6097e-06         2.7256e-08         0.9836               0.1072       2.2085             0.6169
GRB200405394  14.848    3.114   1.2039e-06         2.8214e-08         1.7837               0.1143       2.6936             0.5157
GRB201213746  46.336    5.655   1.0895e-06         3.5073e-08         0.6669               0.0766       1.2969             0.3110
GRB110731465   7.485    0.572   1.0880e-05         2.9050e-08         8.3501               0.2117      12.2549             0.9521
GRB160709826   5.440    0.453   7.2827e-07         6.3218e-09         3.3297               0.1427       9.8037             0.9743
GRB190122305  54.016    3.338   3.6312e-06         2.2319e-08         2.1172               0.0982       3.9577             0.5995
GRB170114833  29.184    0.572   7.8671e-06         1.9209e-08         5.6961               0.1567       6.8301             0.6382
GRB090621417  27.009    6.136   2.0666e-06         4.9907e-08         1.4146               0.1729       2.3568             0.7029
GRB160221993  11.520    0.923   8.6491e-07         1.2222e-08         0.7805               0.0647       1.2664             0.2827
GRB090509215 282.372    3.167   2.0568e-06         1.9902e-08         1.0293               0.0957       2.3058             0.4942
GRB180420031  59.392    1.280   1.8744e-06         2.5665e-08         0.5753               0.1000       1.5283             0.4657
GRB101214748   2.240    2.084   1.5662e-07         1.6659e-08         0.8215               0.1010       5.0164             0.7551
GRB170906039  11.520    1.379   1.5407e-06         2.7899e-08         3.1319               0.1677       5.6922             0.8367
GRB170829414  51.457    2.064   4.7277e-06         2.6175e-08         2.1776               0.1139       3.3717             0.4971
GRB121029350  15.808    0.572   5.1167e-06         3.2497e-08         7.4161               0.1478      12.7387             0.7148
GRB100326294   5.632    2.064   2.4288e-07         3.5642e-08         1.0250               0.1074       2.8429             0.5056
GRB210731931  25.857    5.278   1.6010e-06         3.0917e-08         1.1643               0.1258       1.9738             0.5189
GRB131102622  62.976    7.886   7.6716e-07         2.4892e-08         0.3400               0.0690       1.0676             0.3755
GRB190411579  60.928    5.910   2.5036e-06         1.8176e-08         1.9106               0.1142       3.2060             0.5028
GRB081101532   8.256    0.889   6.8117e-06         1.3868e-07         4.9595               0.3124       6.2410             1.3859
GRB201121062  59.649    6.149   5.1928e-06         4.8702e-08         2.7597               0.1429       3.7046             0.6301
GRB150430015 111.618    2.360   8.0466e-06         3.4621e-08         4.6341               0.1837       5.7123             0.8486
GRB210125369  68.864    5.615   1.1113e-06         1.2717e-08         0.4177               0.0704       1.1906             0.3823
GRB180110608   1.536    1.619   9.7117e-08         9.8891e-09         0.5319               0.0608       0.9571             0.2775
GRB130406334  88.832    3.444   1.7304e-06         5.9194e-08         1.1184               0.1215       2.5842             0.7198
GRB191011192  25.088    4.352   4.5850e-07         2.3958e-08         0.7477               0.1005       1.1815             0.3812
GRB180402481   0.256    0.181   2.6606e-07         1.2021e-08         1.1921               0.1685       6.0382             1.2403
GRB090109332   1.728    0.820   1.0702e-07         9.1520e-09         0.4847               0.2211       1.9352             0.8193
GRB191203290   0.832    0.640   7.6115e-08         8.2559e-09         0.5369               0.1098       1.4351             0.6583
GRB100311518   9.024    1.042   1.4296e-06         5.3985e-08         1.1365               0.1633       2.3293             0.8358
GRB110921912  17.664    0.345   1.4564e-05         4.1638e-08        14.7205               0.2771      19.4147             1.2079
GRB171230955  70.401    0.923   9.3322e-06         1.6850e-08         2.3734               0.1175       3.2679             0.4995
GRB100207665  15.360    3.874   1.2581e-06         2.5687e-08         0.9214               0.1830       1.7696             0.8981
GRB130209961   9.790    0.408   3.7455e-06         1.0307e-08         3.9572               0.1428       6.6967             0.6558
GRB110920546 160.771    5.221   9.0668e-05         1.2334e-07         7.7282               0.2180       9.2534             0.8625
GRB150118927   0.288    0.097   3.6216e-07         5.6466e-09         2.4231               0.1198      20.8826             1.1549
GRB220927234  76.801    1.056   4.7827e-06         1.1023e-08         5.0701               0.1584       6.9558             0.7583
GRB101002279   7.168    2.290   2.5186e-07         1.8909e-08         0.3329               0.0656       1.0043             0.4068
GRB181127274  12.288    2.673   4.3756e-07         1.4671e-08         0.5526               0.0893       1.7531             0.5027
GRB200109074  40.960    4.615   1.2497e-06         1.7546e-08         0.9088               0.0736       1.6117             0.4240
GRB180210991  48.129    0.572   7.5530e-06         1.5899e-08         2.8018               0.1094       4.9593             0.5635
GRB230702527   2.432    0.286   1.1073e-06         1.9078e-08         4.3433               0.1296       7.9257             0.6424
GRB210411146  42.497    0.810   2.3379e-06         2.2213e-08         4.4677               0.1721       6.9565             0.7860
GRB160419637  24.320    6.964   9.3387e-07         3.6948e-08         0.9803               0.1237       1.9878             0.5821
GRB200802491  91.138    2.318   6.0525e-06         3.0742e-08         1.8543               0.1128       3.5730             0.6040
GRB180423266   3.328    1.619   3.3078e-07         1.2457e-08         1.1305               0.1111       1.7586             0.4674
GRB150831930  13.760    2.064   1.4342e-06         1.5197e-08         2.8331               0.1532       4.8971             0.7352
GRB081028538  13.312    1.280   1.2804e-06         1.5205e-08         2.0100               0.2106       3.1444             0.8462
GRB140304849 232.708    1.145   4.7747e-06         3.4037e-08         1.4810               0.1169       2.6460             0.5949
GRB100619015  96.002    1.319   5.9536e-06         4.0538e-08         2.0981               0.3230       3.3307             1.0158
GRB140907429  27.392    7.322   6.9937e-07         1.0090e-07         0.5212               0.1156       1.1474             0.8898
GRB100101028   2.816    0.320   2.4951e-07         9.3828e-09         0.6415               0.1164       2.2897             0.7876
GRB110509475   0.640    0.779   2.3882e-07         7.6479e-09         1.2410               0.0756       4.9909             0.5519
GRB210602865  14.592    1.950   6.6945e-07         2.0637e-08         0.5805               0.0841       1.4892             0.5056
GRB190114873 116.354    2.563   1.6020e-04         2.3602e-07       122.7960               0.5694     168.0970             2.6980
GRB210421455  11.008    2.673   5.5774e-07         1.4313e-08         1.0155               0.0944       1.5954             0.5020
GRB211102338  48.897    0.923   6.2493e-06         1.9334e-08         3.8192               0.1422       5.4371             0.6639
GRB140405033  39.936    3.874   1.4627e-06         1.8708e-08         0.8947               0.0881       1.8721             0.4533
GRB101117496  50.177    1.639   4.8688e-06         4.1142e-08         0.9728               0.0903       2.7254             0.5998
GRB110522633  58.112    2.828   1.2227e-06         1.2113e-08         1.9495               0.1135       3.4219             0.5397
GRB100816009  62.401    5.278   1.4806e-05         1.3159e-07         2.6198               0.3648       4.6276             1.3468
GRB180709099  11.008    1.280   2.1914e-06         1.5696e-08         4.2823               0.1172       5.6679             0.5158
GRB171013350  39.425    1.716   9.3261e-06         2.2108e-08         2.5928               0.1054       3.6022             0.4625
GRB131006367   0.128    0.389   4.9358e-08         7.6420e-09         0.2847               0.1000       2.1042             0.5200
GRB090510016   0.960    0.138   9.0088e-07         1.0279e-08         3.8238               0.2443      16.2244             1.5804
GRB101017619  47.872    1.950   9.9541e-07         9.8821e-09         0.3191               0.0499       1.1239             0.3250
GRB180313978   0.080    0.410   1.0184e-07         5.7866e-09         0.7680               0.0805      11.1839             0.6933
GRB160428412   0.576    1.270   9.7129e-08         1.8276e-08         0.7091               0.1066       2.1199             0.5162
GRB100325275   7.104    1.619   2.1144e-06         2.7595e-08         2.7994               0.1351       4.5335             0.6307
GRB160218711  20.224    3.482   6.9604e-07         1.4652e-08         0.5022               0.0642       1.1221             0.3585
GRB150629564   1.920    1.223   2.4425e-07         9.8120e-09         1.0997               0.0793       4.1592             0.4462
GRB170621784  32.000    5.894   1.0377e-06         4.2734e-08         0.5364               0.0945       1.1980             0.4008
GRB120817168   0.160    0.113   4.9967e-07         5.9318e-09         2.1900               0.1321      19.2841             1.4443
GRB200809211  64.512    7.907   1.2608e-06         2.9315e-08         0.5904               0.0745       1.3115             0.3222
GRB170926782   0.896    0.181   3.0625e-07         5.5346e-09         1.8871               0.0890       4.1690             0.4621
GRB180912274  41.217    0.810   8.9457e-06         1.8043e-08         2.5342               0.1118       3.4706             0.4544
GRB210622064  40.704    1.379   1.4978e-06         2.7931e-08         1.5135               0.1193       2.8479             0.6364
GRB231017337   4.800    0.373   5.8645e-07         9.0833e-09         1.7915               0.1180       3.7140             0.6556
GRB210704815   4.672    0.181   1.3334e-05         3.3439e-08        32.7430               0.4798      43.1279             2.3122
GRB170825307   6.656    0.923   1.0975e-06         1.0684e-08         1.6195               0.0810       2.6169             0.4936
GRB090828099  68.417    3.167   1.2843e-05         1.0168e-07         5.7992               0.3036       7.0585             1.2075
GRB130925164   6.400    2.429   2.8324e-07         1.3006e-08         0.4123               0.0720       0.8516             0.3681
GRB130925173 215.555    1.810   4.0756e-05         1.3982e-07         2.6608               0.1111       3.5065             0.4942
GRB120920003  28.160    4.382   5.1902e-07         1.6079e-08         0.2812               0.0599       1.0604             0.3404
GRB120608489   0.960    1.611   2.9549e-07         1.0865e-08         1.3950               0.0976       4.1761             0.6471
GRB180128215   0.208    0.400   1.5131e-07         8.5031e-09         1.0345               0.0975       4.8162             0.6103
GRB220101930  34.560    7.684   3.6573e-06         4.0183e-08         1.3683               0.1482       2.5394             0.7623
GRB210117458  12.544    1.639   2.1297e-06         2.1696e-08         3.1080               0.1556       4.2195             0.7004
GRB191227723   0.208    0.066   1.0323e-06         8.2423e-09         5.0752               0.1993      35.8503             1.7317
GRB230222404  27.904    2.636   1.3209e-06         2.2210e-08         1.0614               0.0957       1.5500             0.4170
GRB220606025  19.712    1.619   4.1111e-07         2.0335e-08         0.8118               0.1308       2.0478             0.5919
GRB131008858  36.349    3.367   4.4342e-06         3.4201e-08         2.1482               0.1812       4.2946             1.0325
GRB140905454 110.082    1.086   1.6692e-05         3.3739e-08         1.8225               0.1012       3.0899             0.4588
GRB140628626  12.544    3.665   8.2633e-07         3.4376e-08         0.4724               0.0696       1.6677             0.5297
GRB180828790   8.256    0.091   1.6096e-05         1.8149e-08        20.7805               0.3762      26.2653             1.6769
GRB230903440 122.114    2.064   4.3309e-06         3.8516e-08         0.9542               0.0978       1.8518             0.5075
GRB120908938  66.945    2.988   3.2980e-06         6.9467e-08         1.0298               0.1069       2.2235             0.5731
GRB200816486  31.488    1.639   5.2131e-07         2.7557e-08         0.7880               0.1093       1.5924             0.4769
GRB171004672  48.125    0.921   6.4702e-06         2.3982e-08         1.8998               0.1387       4.0078             0.7011
GRB200524211  37.761    6.209   7.9126e-06         4.8215e-08         6.1227               0.1647      10.0719             0.8049
GRB100421917  62.465    1.639   2.5490e-06         2.3385e-08         1.2464               0.1126       2.2867             0.5470
GRB211212532  21.504    1.379   1.7027e-06         1.4853e-08         1.3727               0.1178       2.1759             0.5037
GRB081021398  26.112    3.974   3.6225e-06         5.7539e-08         1.8106               0.2254       2.8570             1.0690
GRB240320729   4.864    3.083   2.3743e-07         1.8149e-08         0.6330               0.0837       1.4792             0.3928
GRB150815604  24.576    5.591   1.4397e-06         3.0882e-08         0.6058               0.0646       1.5161             0.3874
GRB181029892  18.688    2.757   2.2621e-06         3.0004e-08         2.0137               0.1728       3.7233             0.9598
GRB160612842   0.288    0.231   3.1589e-07         8.0476e-09         1.6580               0.1137      10.5031             0.8461
GRB180925407   0.896    0.923   7.5011e-08         8.5290e-09         0.4735               0.0771       1.6502             0.3971
GRB201017407   8.960    3.435   8.3685e-07         4.9227e-08         0.9037               0.0924       2.1677             0.5479
GRB131021352  17.664    3.258   6.9654e-07         2.6109e-08         1.4603               0.1343       4.8429             0.7251
GRB170514180 103.938    0.923   1.1427e-05         1.9432e-08         4.3347               0.1169       4.8930             0.5065
GRB200415367   0.144    0.036   1.1495e-06         8.7443e-09         3.9923               0.1305      27.0932             1.3897
GRB180420107  62.977    4.222   2.6456e-06         1.7636e-08         1.2578               0.0884       1.8809             0.3787
GRB170405777  78.593    0.572   3.8576e-05         3.4203e-08         8.0771               0.1663       9.4817             0.7013
GRB140311453  14.912    1.619   1.3354e-06         2.0198e-08         1.1180               0.0879       1.7087             0.3459
GRB130611538  66.816    6.700   4.0152e-06         5.0840e-08         0.9839               0.1039       2.0649             0.4916
GRB090904058  56.065    1.846   1.1574e-05         1.1262e-07         2.3264               0.1398       3.5713             0.6687
GRB110725236  20.224    1.056   7.5922e-07         1.3279e-08         1.2801               0.0880       2.4272             0.4588
GRB100922625   4.352    0.923   2.1804e-07         6.8080e-09         0.3566               0.0593       0.6182             0.2499
GRB090908341  36.864    0.923   1.2482e-06         6.4937e-09         1.1070               0.1585       2.7233             0.7099
GRB130907760   3.136    2.691   1.4311e-07         1.5315e-08         0.5799               0.0587       1.7686             0.3675
GRB121028280  11.008    2.360   5.7485e-07         1.3013e-08         0.7648               0.0754       1.7332             0.3781
GRB140109877   3.328    2.560   7.9299e-08         1.3436e-08         0.0567               0.0375       0.2570             0.3531
GRB190904174   7.680    6.192   2.6705e-07         2.2834e-08         0.7092               0.0899       1.5589             0.4123
GRB090909854   1.152    2.244   1.0269e-07         1.1250e-08         0.6733               0.0697       2.6591             0.4542
GRB190118937   0.576    0.453   3.1701e-07         4.6658e-08         1.7824               0.2783       7.4924             1.6614
GRB120619884   0.960    0.960   2.2427e-07         1.6897e-08         1.0019               0.0940       2.7166             0.6144
GRB201019069  16.896    1.305   5.6055e-06         1.5273e-08         3.5081               0.1464       5.7290             0.7294
GRB100929916   0.320    0.143   2.9213e-07         1.2210e-08         1.4423               0.1304       7.8795             1.0768
GRB231220674   5.120    0.810   7.6928e-07         2.2980e-08         1.8068               0.2405       3.4922             1.3695
GRB140511995  59.136    1.379   3.7229e-06         2.0897e-08         1.4349               0.1131       3.0700             0.6172
GRB220131236  84.738    2.919   5.8223e-06         1.3777e-08         1.0496               0.0921       2.0936             0.4546
GRB130604033  26.880    0.923   9.4374e-06         6.7087e-08         5.3445               0.1663       9.3280             0.8479
GRB220403863  29.184    2.064   2.7596e-06         2.6096e-08         1.1384               0.0849       1.5475             0.3798
GRB170901345  29.696    3.665   1.9190e-07         8.8505e-09         0.7569               0.1108       1.6714             0.4887
GRB100130729  99.586    2.415   5.7586e-06         2.2312e-08         2.7142               0.1353       4.1581             0.6175
GRB120412055   9.728    3.566   6.8138e-07         4.8881e-08         1.0384               0.1114       1.7663             0.5010
GRB151202565   0.704    1.159   3.2058e-07         1.3939e-08         1.4955               0.1178       3.9113             0.6998
GRB240226236  20.224    2.985   4.9507e-07         2.6089e-08         0.6469               0.0984       1.4075             0.5128
GRB140711691  80.896   21.601   1.5544e-06         7.2540e-08         0.4536               0.1017       1.7059             0.4883
GRB161228405  50.176    3.444   1.9222e-06         3.9357e-08         2.1833               0.1098       3.3105             0.5251
GRB211018697  15.104    5.030   8.1374e-07         2.4350e-08         0.6023               0.1020       1.4701             0.4876
GRB081221681  29.697    0.410   1.7785e-05         3.7179e-08        11.0647               0.3218      12.0097             1.3594
GRB101227406 153.347    2.573   7.9628e-06         5.4436e-08         3.1160               0.1336       4.3738             0.5870
GRB180314030  22.016    0.572   9.1179e-06         1.6864e-08         3.4227               0.1560       4.4595             0.6798
GRB090514726   2.240    0.286   1.3006e-06         1.8717e-08         4.0559               0.2634       7.1787             1.0333
GRB200920651   1.472    1.864   8.4735e-08         1.2321e-08         0.4292               0.0714       1.9501             0.5399
GRB211130636 218.629    0.572   9.6787e-06         1.9313e-08         8.7705               0.1987      16.6660             1.0676
GRB090228204   0.448    0.143   1.7550e-06         1.3201e-08         7.2239               0.1887      60.9947             2.1860
GRB110909116  20.736    1.639   4.6534e-06         1.1004e-07         8.6113               0.7392      12.3340             2.5990
GRB100704149 171.523    2.673   5.2048e-06         3.0486e-08         3.7106               0.1482       4.6822             0.6790
GRB120504945   5.760    0.779   8.0558e-07         1.4458e-08         1.2187               0.1194       2.4778             0.6627
GRB131119781  34.816    0.810   1.1114e-06         1.4491e-08         0.9830               0.0897       1.8252             0.4024
GRB090307167  29.440    1.810   5.5406e-07         2.0286e-08         0.3243               0.0623       0.8079             0.2558
GRB230827762  83.201    0.724   1.4963e-05         3.3680e-08         5.6222               0.1868       8.0775             0.8801
GRB110828575  44.673    7.534   1.3915e-06         2.0853e-08         0.6595               0.0691       1.7112             0.4853
GRB190830023  12.288    1.280   1.4325e-06         3.6952e-08         1.2839               0.1307       2.5158             0.6285
GRB160222070  18.176    1.280   6.7439e-07         1.3673e-08         0.5360               0.0697       1.0426             0.3020
GRB190805106   9.216    1.619   2.7028e-06         3.4369e-08         3.1453               0.1748       5.2683             0.8202
GRB181116484  68.609    0.810   1.0127e-05         1.3525e-08         4.3549               0.1501       6.1697             0.6971
GRB101021009 120.770   12.237   1.0980e-05         2.4333e-07         3.5968               0.4823       6.5435             2.2815
GRB091026485   3.328    0.779   3.1495e-07         1.1843e-08         0.7483               0.2019       2.3528             0.9582
GRB230310031  52.224    4.857   1.9603e-06         3.6451e-08         1.7840               0.1766       4.1514             1.0843
GRB170817529   2.048    0.466   1.7492e-07         1.0495e-08         0.6629               0.0842       2.0155             0.5251
GRB190623461   9.728    0.923   1.2446e-06         1.5170e-08         1.4891               0.1189       3.1879             0.6171
GRB190813520   0.192    0.873   3.0367e-08         6.6490e-09         0.0530               0.0406       0.4427             0.1803
GRB200919964  48.129    0.572   2.7896e-05         2.7713e-08         7.1890               0.1618       9.9384             0.7482
GRB080831921  74.497    1.243   5.0870e-06         2.4435e-08         1.2449               0.2062       2.2372             0.9326
GRB100826957  84.993    0.724   7.7600e-05         5.4654e-08        13.7873               0.2290      17.4432             0.9866
GRB120102416  20.224    2.769   1.4623e-06         3.0852e-08         1.2847               0.0941       2.3252             0.5237
GRB080805584  65.665   14.676   2.2661e-06         3.3732e-08         0.5141               0.1841       1.6583             0.7814
GRB091018957   0.192    0.286   1.1600e-07         1.3997e-08         1.1389               0.4091       5.7692             2.6756
GRB181010247   9.728    2.187   4.4021e-07         4.0915e-08         0.0541               0.0290       0.4712             0.4547
GRB100205490  14.848    2.290   7.9492e-07         1.4165e-08         0.8505               0.1979       1.5845             0.8036
GRB160603719   0.384    0.231   1.2999e-07         1.8207e-08         0.9708               0.1105       3.3076             0.6525
GRB180724984   4.608    2.064   4.8858e-07         3.8022e-08         1.3363               0.2140       2.6685             0.9283
GRB150513856 158.978    2.862   4.1613e-06         4.5103e-08         1.5128               0.1001       2.4812             0.4911
GRB190507970  36.352    2.862   6.9236e-06         2.7096e-08         2.2905               0.1187       3.2102             0.5286
GRB220405258   8.192    1.305   1.9434e-06         1.6371e-08         1.9138               0.1153       3.1040             0.5585
GRB110730008  28.416    2.919   6.4920e-07         1.8599e-08         0.5308               0.0703       1.1841             0.3738
GRB220228438  12.032    2.415   4.2773e-07         1.7743e-08         0.7216               0.0766       1.3293             0.4217
GRB160921087  48.897    0.810   1.9975e-06         1.2208e-08         1.2884               0.0921       1.8783             0.4358
GRB220915218  18.048    1.557   5.3975e-06         2.0640e-08         6.4593               0.2058       8.0853             0.8771
GRB090621447  26.112    5.655   8.3795e-07         2.4718e-08         0.7088               0.0723       1.3675             0.3570
GRB101126198  43.837    1.747   1.6301e-05         7.7608e-08         7.9561               0.2525       8.8849             0.9702
GRB091010113   5.952    0.143   6.0029e-06         2.9895e-08        16.7580               0.3947      37.3350             1.7486
GRB160819852  33.536    1.493   8.3955e-06         2.9794e-08         7.6594               0.1754       9.2251             0.7385
GRB130722990   2.304    1.379   3.3940e-07         9.4717e-09         1.3717               0.0905       2.6556             0.5161
GRB130219197 168.003    2.172   1.6646e-05         5.7839e-08         1.4038               0.0925       2.4327             0.4251
GRB100730463  63.873    8.776   3.8764e-06         9.3726e-08         1.1544               0.1484       2.1970             0.6678
GRB230808699  20.992    2.636   2.3616e-06         2.8421e-08         1.4336               0.0985       2.9483             0.4859
GRB160123095  37.632    3.167   3.9488e-07         1.2317e-08         0.4170               0.0701       1.2372             0.4067
GRB190107050  67.584    4.924   1.0507e-06         1.9143e-08         0.3440               0.0480       0.8875             0.3612
GRB111203609  22.016    6.734   3.6362e-07         2.3728e-08         0.5354               0.0757       1.5047             0.3914
GRB130606497  52.225    0.724   8.8586e-05         1.0506e-07        26.4792               0.3417      32.5466             1.6385
GRB111230819  12.736    1.145   2.1833e-06         2.3613e-08         2.4616               0.1152       4.0995             0.5693
GRB160315739   3.328    1.086   1.7055e-07         1.3154e-08         0.5332               0.0844       1.2189             0.3896
GRB200625532  63.488    1.619   3.5898e-06         1.8058e-08         1.7755               0.1345       2.7112             0.5202
GRB181028590  29.697    0.810   1.6901e-05         4.1034e-08         5.5852               0.1652       8.4757             0.7327
GRB190501794 424.967   13.440   3.1228e-06         3.6942e-08         0.5159               0.0671       1.0099             0.2813
GRB240305162   7.424    1.056   1.6128e-06         1.2440e-08         2.2346               0.1170       2.7099             0.4853
GRB110410772   7.424    0.810   5.0365e-07         1.2041e-08         0.8167               0.0832       1.8111             0.4883
GRB160219289   3.520    0.181   4.2658e-07         3.8194e-08         1.1729               0.0910       8.2210             0.7744
GRB230101095  83.202    4.672   7.8360e-06         2.1606e-08         2.1994               0.0978       3.6461             0.4507
GRB170705200  27.648    0.724   1.9259e-06         1.0776e-08         0.9430               0.0915       1.5190             0.4334
GRB110209165   5.632    0.916   4.2640e-07         1.9593e-08         0.8475               0.1106       1.6051             0.5927
GRB100304534  19.008    2.782   2.6496e-06         8.9414e-08         1.5493               0.2705       2.5028             1.1040
