name        t90     t90_error fluence_batse fluence_batse_error flux_batse_1024 flux_batse_1024_error flux_batse_64 flux_batse_64_error
GRB160406570  66.560   16.836   2.3920e-06         2.3848e-08         1.1284               0.1474       2.3734             0.6644
GRB130804023   0.960    0.091   8.1016e-07         8.6116e-09         3.6683               0.1316      22.8823             1.2090
GRB240216456   2.432    0.528   1.0905e-06         1.0363e-08         4.3065               0.1176       7.5091             0.6768
GRB161020759  24.320    1.557   1.6859e-05         2.9583e-08        13.1829               0.2116      14.5059             0.8511
GRB230723194   0.768    0.231   2.1901e-07         2.8011e-08         1.5712               0.1888       3.4138             0.8084
GRB180906597  52.030    2.127   2.0748e-06         1.6311e-08         0.9390               0.0824       1.8755             0.4382
GRB110911071   8.960    4.352   2.8753e-07         3.3035e-08         0.8443               0.1732       2.3739             0.8176
GRB200908886   6.144    2.187   4.6880e-07         4.2467e-08         0.8663               0.1074       1.8885             0.4957
GRB120114433   2.752    1.569   8.6476e-08         1.6315e-08         0.3581               0.0641       1.5645             0.4070
GRB170121067   2.304    0.286   9.3657e-07         1.7929e-08         2.8184               0.1091       4.6600             0.5524
GRB170124874  22.784    0.572   5.6347e-06         1.3957e-08         2.8201               0.1239       3.6317             0.5682
GRB180614327   9.216    2.573   2.4182e-07         1.2184e-08         0.4998               0.0898       1.4178             0.4089
GRB141022087   9.216    0.572   3.9859e-05         4.9520e-08        33.0719               0.7274      53.7563             3.7016
GRB100112418  23.040    0.572   5.5620e-07         5.9938e-09         0.3575               0.0550       0.8865             0.3359
GRB121116459   0.832    0.590   1.7149e-07         7.4340e-09         0.9460               0.1231       2.8964             1.0116
GRB190327111  36.864    1.448   3.6508e-06         9.0098e-08         2.6043               0.3027       5.3386             1.4848
GRB110212550   0.064    0.036   2.1314e-07         6.2275e-09         1.1529               0.0786       9.4294             0.7513
GRB200629535  28.160    1.056   5.5915e-06         2.5436e-08         4.0515               0.1271       4.7724             0.5323
GRB161012637   6.400    3.114   3.6658e-07         1.4882e-08         0.3443               0.0535       1.1817             0.4427
GRB141221897  32.513    1.846   4.6061e-06         3.9718e-08         1.7185               0.1021       2.8836             0.4637
