#rhoc           M              M_0            R              k_love         
2.171733e-03   2.010632e+00   2.307850e+00   8.205135e+00   3.734903e-02   
2.190786e-03   2.012304e+00   2.310193e+00   8.190024e+00   3.689576e-02   
2.209839e-03   2.013876e+00   2.312415e+00   8.169430e+00   3.657572e-02   
2.228893e-03   2.015349e+00   2.314484e+00   8.153968e+00   3.615088e-02   
2.247946e-03   2.016727e+00   2.316416e+00   8.138595e+00   3.573447e-02   
2.266999e-03   2.018013e+00   2.318221e+00   8.123301e+00   3.532650e-02   
2.286053e-03   2.019209e+00   2.319904e+00   8.108081e+00   3.492689e-02   
2.305106e-03   2.020318e+00   2.321468e+00   8.092900e+00   3.453613e-02   
2.324159e-03   2.021343e+00   2.322917e+00   8.077773e+00   3.415372e-02   
2.343213e-03   2.022285e+00   2.324252e+00   8.062682e+00   3.377982e-02   
2.362266e-03   2.023148e+00   2.325477e+00   8.047622e+00   3.341434e-02   
2.381319e-03   2.023933e+00   2.326587e+00   8.032576e+00   3.305739e-02   
2.400373e-03   2.024644e+00   2.327593e+00   8.017548e+00   3.270869e-02   
2.419426e-03   2.025281e+00   2.328499e+00   8.002533e+00   3.236816e-02   
2.438479e-03   2.025848e+00   2.329305e+00   7.987524e+00   3.203574e-02   
2.457533e-03   2.026346e+00   2.330017e+00   7.972522e+00   3.171118e-02   
2.476586e-03   2.026777e+00   2.330637e+00   7.957526e+00   3.139433e-02   
2.495639e-03   2.027144e+00   2.331158e+00   7.942534e+00   3.108503e-02   
2.514693e-03   2.027447e+00   2.331589e+00   7.927553e+00   3.078297e-02   
2.533746e-03   2.027690e+00   2.331935e+00   7.912580e+00   3.048804e-02   
2.552799e-03   2.027873e+00   2.332200e+00   7.897623e+00   3.019991e-02   
2.571853e-03   2.027998e+00   2.332386e+00   7.882693e+00   2.991821e-02   
2.590906e-03   2.028068e+00   2.332485e+00   7.867793e+00   2.964272e-02   
