#rhoc           M              M_0            R              k_love         
2.076201e-03   2.443041e+00   2.990753e+00   7.882662e+00   2.209105e-02   
2.091264e-03   2.445791e+00   2.995222e+00   7.868409e+00   2.178199e-02   
2.106327e-03   2.448366e+00   2.999398e+00   7.860006e+00   2.140142e-02   
2.121390e-03   2.450771e+00   3.003318e+00   7.845393e+00   2.111373e-02   
2.136454e-03   2.453012e+00   3.007025e+00   7.831346e+00   2.082569e-02   
2.151517e-03   2.455093e+00   3.010380e+00   7.822579e+00   2.047631e-02   
2.166580e-03   2.457020e+00   3.013561e+00   7.808152e+00   2.020853e-02   
2.181643e-03   2.458797e+00   3.016503e+00   7.794268e+00   1.994058e-02   
2.196706e-03   2.460429e+00   3.019147e+00   7.785198e+00   1.961928e-02   
2.211769e-03   2.461920e+00   3.021636e+00   7.770931e+00   1.937027e-02   
2.226832e-03   2.463275e+00   3.023838e+00   7.762504e+00   1.905628e-02   
2.241895e-03   2.464498e+00   3.025890e+00   7.747859e+00   1.882532e-02   
2.256958e-03   2.465593e+00   3.027723e+00   7.733749e+00   1.859377e-02   
2.272021e-03   2.466564e+00   3.029314e+00   7.725053e+00   1.830443e-02   
2.287084e-03   2.467414e+00   3.030729e+00   7.710571e+00   1.808971e-02   
2.302147e-03   2.468149e+00   3.031990e+00   7.696636e+00   1.787411e-02   
2.317211e-03   2.468771e+00   3.032977e+00   7.687657e+00   1.760776e-02   
2.332274e-03   2.469284e+00   3.033874e+00   7.673368e+00   1.740772e-02   
2.347337e-03   2.469691e+00   3.034510e+00   7.665002e+00   1.714690e-02   
2.362400e-03   2.469995e+00   3.035057e+00   7.650362e+00   1.696169e-02   
2.377463e-03   2.470201e+00   3.035414e+00   7.636294e+00   1.677492e-02   
2.392526e-03   2.470310e+00   3.035581e+00   7.627578e+00   1.653543e-02   
2.407589e-03   2.470327e+00   3.035605e+00   7.613190e+00   1.636225e-02   
