1.000 1735.394
1.011 1671.022
1.021 1549.353
1.035 1454.758
1.047 1348.835
1.057 1298.802
1.069 1219.504
1.077 1159.566
1.090 1088.769
1.103 1009.495
1.117 935.992
1.131 878.845
1.147 814.856
1.170 727.500
1.188 666.085
1.205 617.586
1.224 558.370
1.240 524.279
1.259 468.074
1.278 428.559
1.300 387.468
1.323 350.316
1.341 328.927
1.361 293.665
1.379 275.735
1.397 249.297
1.415 231.145
1.438 203.782
1.464 184.243
1.489 164.491
1.511 150.605
1.530 136.164
1.557 121.567
1.585 105.834
1.610 96.899
1.631 87.608
1.655 78.216
1.677 70.717
1.702 62.345
1.727 57.082
1.756 49.694
1.778 44.929
1.808 38.625
1.830 34.921
1.858 30.402
1.877 27.835
1.907 23.630
1.931 20.833
1.957 18.835
1.981 16.192
2.013 13.404
2.043 11.523
2.058 10.159
2.084 8.624
2.101 7.603
2.121 6.536
2.145 5.343
2.161 4.593
2.174 3.661
2.185 2.882
2.189 2.297
