#rhoc           M              M_0            R              k_love         
3.820912e-03   1.765017e+00   2.107539e+00   5.962745e+00   2.183229e-02   
3.848299e-03   1.766808e+00   2.110373e+00   5.948807e+00   2.154121e-02   
3.875686e-03   1.768490e+00   2.112999e+00   5.940154e+00   2.116432e-02   
3.903074e-03   1.770067e+00   2.115485e+00   5.926104e+00   2.089199e-02   
3.930461e-03   1.771540e+00   2.117786e+00   5.917602e+00   2.053125e-02   
3.957848e-03   1.772913e+00   2.119984e+00   5.903493e+00   2.027578e-02   
3.985236e-03   1.774188e+00   2.121971e+00   5.895075e+00   1.993146e-02   
4.012623e-03   1.775369e+00   2.123874e+00   5.880930e+00   1.969158e-02   
4.040010e-03   1.776457e+00   2.125584e+00   5.872569e+00   1.936328e-02   
4.067398e-03   1.777454e+00   2.127184e+00   5.858444e+00   1.913720e-02   
4.094785e-03   1.778365e+00   2.128618e+00   5.850079e+00   1.882508e-02   
4.122172e-03   1.779190e+00   2.129963e+00   5.836013e+00   1.861145e-02   
4.149560e-03   1.779932e+00   2.131121e+00   5.827613e+00   1.831514e-02   
4.176947e-03   1.780593e+00   2.132222e+00   5.813672e+00   1.811226e-02   
4.204334e-03   1.781176e+00   2.133133e+00   5.805186e+00   1.783174e-02   
4.231722e-03   1.781683e+00   2.133969e+00   5.791428e+00   1.763813e-02   
4.259109e-03   1.782116e+00   2.134644e+00   5.782817e+00   1.737318e-02   
4.286496e-03   1.782477e+00   2.135262e+00   5.769300e+00   1.718749e-02   
4.313884e-03   1.782768e+00   2.135699e+00   5.760533e+00   1.693774e-02   
4.341271e-03   1.782990e+00   2.136045e+00   5.752518e+00   1.668358e-02   
4.368658e-03   1.783147e+00   2.136338e+00   5.738384e+00   1.652353e-02   
4.396046e-03   1.783239e+00   2.136455e+00   5.730129e+00   1.628494e-02   
4.423433e-03   1.783269e+00   2.136538e+00   5.716417e+00   1.612879e-02   
